Date	demanda_diaria
2023-03-05	768576350.12
2023-03-06	871502294.88
2023-03-07	875884448.4
2023-03-08	868883636.2
2023-03-09	854630979.56
2023-03-10	858316276.24
2023-03-11	821149331.24
2023-03-12	748654960.3199999
2023-03-13	846700739.24
2023-03-14	860793368.84
2023-03-15	856394273.24
2023-03-16	860588768.92
2023-03-17	865586029.6
2023-03-18	836700336.08
2023-03-19	754210727.76
2023-03-20	781911053.8
2023-03-21	879075161.0799999
2023-03-22	883892740.52
2023-03-23	885383104.1999999
2023-03-24	893329541.0400001
2023-03-25	853522204.12
2023-03-26	778754830.48
2023-03-27	871632447.5600001
2023-03-28	884492445.24
2023-03-29	883766751.88
2023-03-30	886100301.0799999
2023-03-31	887893559.4
2023-04-01	850553746.0400001
2023-04-02	773511286.96
2023-04-03	869730083.76
2023-04-04	879763356.0400001
2023-04-05	866101186.0400001
2023-04-06	744796564.1999999
2023-04-07	700625197.4
2023-04-08	757842854.12
2023-04-09	756072977.24
2023-04-10	872687901.9599999
2023-04-11	887741022.28
2023-04-12	888961034.76
2023-04-13	893716654.08
2023-04-14	908207626.56
2023-04-15	866249865.8000001
2023-04-16	763693136.4
2023-04-17	854392189.56
2023-04-18	882186276.92
2023-04-19	889977651.24
2023-04-20	896397967.8
2023-04-21	880370567.28
2023-04-22	840492478.08
2023-04-23	762682922.52
2023-04-24	863558336.24
2023-04-25	880079869.0
2023-04-26	891235394.0799999
2023-04-27	900539972.28
2023-04-28	896781865.64
2023-04-29	858426227.52
2023-04-30	758830322.0
2023-05-01	770633297.88
2023-05-02	895706956.0400001
2023-05-03	920758581.3199999
2023-05-04	927621786.76
2023-05-05	947241545.2
2023-05-06	897826589.36
2023-05-07	802917978.8000001
2023-05-08	907195540.64
2023-05-09	927925037.84
2023-05-10	906839502.4
2023-05-11	918764479.52
2023-05-12	927906591.9200001
2023-05-13	892294879.44
2023-05-14	793779519.0
2023-05-15	893228851.32
2023-05-16	901677109.04
2023-05-17	894256967.24
2023-05-18	925749688.84
2023-05-19	936834224.64
2023-05-20	877271611.6800001
2023-05-21	769427525.88
2023-05-22	773400360.72
2023-05-23	878185122.12
2023-05-24	895213875.48
2023-05-25	891588413.72
2023-05-26	886820542.12
2023-05-27	849786525.1999999
2023-05-28	771084309.96
2023-05-29	875733952.44
2023-05-30	883989548.3199999
2023-05-31	891395096.44
2023-06-01	878152282.96
2023-06-02	887967670.4399999
2023-06-03	868621144.4399999
2023-06-04	768200614.7199999
2023-06-05	871183932.96
2023-06-06	897393685.56
2023-06-07	913714681.48
2023-06-08	888361509.96
2023-06-09	892421931.4399999
2023-06-10	857399537.92
2023-06-11	775459149.64
2023-06-12	806040196.04
2023-06-13	907304147.76
2023-06-14	918693655.52
2023-06-15	906309877.48
2023-06-16	901577487.8399999
2023-06-17	844702576.88
2023-06-18	761829364.64
2023-06-19	798156479.16
2023-06-20	917493881.08
2023-06-21	937028177.44
2023-06-22	932966954.56
2023-06-23	919582880.88
2023-06-24	864713812.1999999
2023-06-25	776718030.48
2023-06-26	858750762.48
2023-06-27	889848398.48
2023-06-28	906534236.24
2023-06-29	922711217.96
2023-06-30	918112893.16
2023-07-01	865526034.12
2023-07-02	754254445.88
2023-07-03	769728608.88
2023-07-04	869661634.52
2023-07-05	889809076.64
2023-07-06	887283273.36
2023-07-07	883783170.04
2023-07-08	844691202.1600001
2023-07-09	776630323.44
2023-07-10	885213632.96
2023-07-11	901391725.3199999
2023-07-12	894482301.2
2023-07-13	917290342.9599999
2023-07-14	915997343.72
2023-07-15	871032234.6
2023-07-16	781127306.08
2023-07-17	887568194.08
2023-07-18	906989487.04
2023-07-19	914912655.1600001
2023-07-20	854716474.2
2023-07-21	922366637.76
2023-07-22	869437568.04
2023-07-23	793613906.48
2023-07-24	912238241.12
2023-07-25	928072077.84
2023-07-26	917503010.4000001
2023-07-27	913634166.8
2023-07-28	924881128.64
2023-07-29	891576119.68
2023-07-30	813347102.12
2023-07-31	898324847.36
2023-08-01	910980589.12
2023-08-02	923592461.0
2023-08-03	940066874.0
2023-08-04	945602659.2
2023-08-05	896292023.04
2023-08-06	811681228.52
2023-08-07	822693599.68
2023-08-08	927872028.12
2023-08-09	935979516.68
2023-08-10	930745420.6800001
2023-08-11	946120377.88
2023-08-12	904511079.56
2023-08-13	817086056.56
2023-08-14	908529774.24
2023-08-15	913452864.08
2023-08-16	915613021.9200001
2023-08-17	928592310.68
2023-08-18	935579175.88
2023-08-19	905519397.12
2023-08-20	799843393.8000001
2023-08-21	803616776.76
2023-08-22	869342749.64
2023-08-23	892808019.4
2023-08-24	908159559.64
2023-08-25	926985730.8000001
2023-08-26	885315648.9999999
2023-08-27	800040230.4399999
2023-08-28	918846907.0
2023-08-29	943082174.1999999
2023-08-30	959115082.12
2023-08-31	953434092.36
2023-09-01	957246942.6800001
2023-09-02	897070664.6
2023-09-03	795822716.88
2023-09-04	898308416.4399999
2023-09-05	937666555.52
2023-09-06	953935905.96
2023-09-07	953885878.96
2023-09-08	954577362.72
2023-09-09	895436870.5600001
2023-09-10	791326514.92
2023-09-11	915460830.84
2023-09-12	944557976.4399999
2023-09-13	941732916.52
2023-09-14	945100984.12
2023-09-15	930180600.4
2023-09-16	883620524.6
2023-09-17	804758204.68
2023-09-18	902934025.5200001
2023-09-19	928310596.04
2023-09-20	938913413.16
2023-09-21	952649932.6
2023-09-22	956283432.6
2023-09-23	892110329.96
2023-09-24	811121670.88
2023-09-25	929499690.68
2023-09-26	942288055.28
2023-09-27	951051472.24
2023-09-28	939255286.6
2023-09-29	939008888.52
2023-09-30	910712873.44
2023-10-01	819548941.12
2023-10-02	928382699.68
2023-10-03	928615870.64
2023-10-04	906915189.76
2023-10-05	920208165.64
2023-10-06	916913791.92
2023-10-07	882003266.12
2023-10-08	785203749.6
2023-10-09	901205524.3199999
2023-10-10	926270941.1999999
2023-10-11	929000931.52
2023-10-12	946427782.56
2023-10-13	940034234.92
2023-10-14	877995890.4399999
2023-10-15	791031342.8
2023-10-16	794168990.5600001
2023-10-17	908810398.44
2023-10-18	929995968.5600001
2023-10-19	941130123.92
2023-10-20	919225065.76
2023-10-21	870530373.52
2023-10-22	786373879.04
2023-10-23	912683673.24
2023-10-24	915296679.64
2023-10-25	901264797.96
2023-10-26	885293907.64
2023-10-27	880438272.3199999
2023-10-28	837593172.92
2023-10-29	752276685.12
2023-10-30	877762448.2
2023-10-31	883464224.68
2023-11-01	875091674.88
2023-11-02	874233853.36
2023-11-03	884853325.32
2023-11-04	856202311.84
2023-11-05	784687762.52
2023-11-06	797464649.6800001
2023-11-07	892977044.0
2023-11-08	925159513.12
2023-11-09	945762450.52
2023-11-10	935879022.48
2023-11-11	895685024.52
